reg_number,url,law,purchase_method,status,object_name,customer_name,customer_url,initial_price,region_code,region_name,scraped_at
0360300019826000069,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0360300019826000069,44-ФЗ,44-ФЗ                                    Электронный аукцион,Определение поставщика завершено,Поставка лекарственного препарата Лозартан,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""САРАТОВСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 9""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=803044,4845.0,16,Республика Татарстан,2026-04-25T20:27:14.966672
0358200003126000023,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0358200003126000023,44-ФЗ,44-ФЗ                                    Электронный аукцион,Подача заявок,Поставка мягкого инвентаря (белье),"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ НАСЕЛЕНИЯ РОСТОВСКОЙ ОБЛАСТИ ""СОЦИАЛЬНЫЙ ПРИЮТ ДЛЯ ДЕТЕЙ И ПОДРОСТКОВ Г. ТАГАНРОГА""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=713034,5200.0,16,Республика Татарстан,2026-04-25T20:27:14.967506
0172200000726000102,https://zakupki.gov.ru/epz/order/notice/ok20/view/common-info.html?regNumber=0172200000726000102,44-ФЗ,44-ФЗ                                    Открытый конкурс в электронной форме,Определение поставщика отменено,"Выполнение работ по капитальному ремонту СБ «Красногвардеец» для Государственного бюджетного учреждения дополнительного образования спортивной школы олимпийского резерва Красногвардейского района Санкт-Петербурга имени Ю.Г.Королева (2 этап), для нужд Санкт-Петербурга в 2026 году",АДМИНИСТРАЦИЯ КРАСНОГВАРДЕЙСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА,https://zakupki.gov.ru/epz/organization/view/info.html?reestrNumber=787387,39293790.0,16,Республика Татарстан,2026-04-25T20:27:14.969094
0339100001526000196,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0339100001526000196,44-ФЗ,44-ФЗ                                    Электронный аукцион,Подача заявок,Поставка медицинского оборудования (Система эндоскопической визуализации),"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НОВОКУЗНЕЦКИЙ НАУЧНО-ПРАКТИЧЕСКИЙ ЦЕНТР МЕДИКО-СОЦИАЛЬНОЙ ЭКСПЕРТИЗЫ И РЕАБИЛИТАЦИИ ИНВАЛИДОВ"" МИНИСТЕРСТВА ТРУДА И СОЦИАЛЬНОЙ ЗАЩИТЫ РОССИЙСКОЙ ФЕДЕРАЦИИ",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=612362,18087725.0,16,Республика Татарстан,2026-04-25T20:27:14.970518
0358200003126000022,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0358200003126000022,44-ФЗ,44-ФЗ                                    Электронный аукцион,Подача заявок,Поставка мягкого инвентаря (разное),"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ НАСЕЛЕНИЯ РОСТОВСКОЙ ОБЛАСТИ ""СОЦИАЛЬНЫЙ ПРИЮТ ДЛЯ ДЕТЕЙ И ПОДРОСТКОВ Г. ТАГАНРОГА""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=713034,8366.8,16,Республика Татарстан,2026-04-25T20:27:14.971904
0373100032626000212,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0373100032626000212,44-ФЗ,44-ФЗ                                    Электронный аукцион,Подача заявок,Поставка лекарственных препаратов  для медицинского применения ФОСФОКРЕАТИН  ОКПД 2 - 21.20.10.141,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""РОССИЙСКИЙ НАУЧНЫЙ ЦЕНТР РЕНТГЕНОРАДИОЛОГИИ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=645989,7410000.0,16,Республика Татарстан,2026-04-25T20:27:14.973424
32615951159,https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=19705057,223-ФЗ,"223-ФЗ                                    Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства",Подача заявок,Поставка стеллажей,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""АРАМИЛЬСКАЯ ГОРОДСКАЯ БОЛЬНИЦА""",https://zakupki.gov.ru/epz/organization/view223/info.html?agencyId=549345,100999.95,16,Республика Татарстан,2026-04-25T20:27:14.974779
32615951158,https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=19705058,223-ФЗ,223-ФЗ                                    Прочие,Подача заявок,Поставка вакцины для профилактики бешенства,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""АРАМИЛЬСКАЯ ГОРОДСКАЯ БОЛЬНИЦА""",https://zakupki.gov.ru/epz/organization/view223/info.html?agencyId=549345,324654.0,16,Республика Татарстан,2026-04-25T20:27:14.975900
0165300003426000024,https://zakupki.gov.ru/epz/order/notice/zk20/view/common-info.html?regNumber=0165300003426000024,44-ФЗ,44-ФЗ                                    Запрос котировок в электронной форме,Подача заявок,Бензин автомобильный (розничная реализация),АДМИНИСТРАЦИЯ КОЛПАШЕВСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ,https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=623718,114012.0,16,Республика Татарстан,2026-04-25T20:27:14.976845
32615951157,https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=19705059,223-ФЗ,223-ФЗ                                    Прочие,Подача заявок,Поставка вакцины для профилактики клещевого энцефалита,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""АРАМИЛЬСКАЯ ГОРОДСКАЯ БОЛЬНИЦА""",https://zakupki.gov.ru/epz/organization/view223/info.html?agencyId=549345,144156.0,16,Республика Татарстан,2026-04-25T20:27:14.977824
0304200004326000013,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0304200004326000013,44-ФЗ,44-ФЗ                                    Электронный аукцион,Определение поставщика завершено,Поставка моющих средств и хозяйственных товаров,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""РЕСПУБЛИКАНСКИЙ КЛИНИЧЕСКИЙ ЦЕНТР ПСИХИАТРИИ И НАРКОЛОГИИ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ КАБАРДИНО-БАЛКАРСКОЙ РЕСПУБЛИКИ",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=679658,995631.74,16,Республика Татарстан,2026-04-25T20:27:17.570532
0346200015626000005,https://zakupki.gov.ru/epz/order/notice/ok20/view/common-info.html?regNumber=0346200015626000005,44-ФЗ,"44-ФЗ                                    Открытый конкурс в электронной форме на проведение работ по строительству, реконструкции, кап. ремонту, сносу объекта кап. строительства в соответствии с п. 8 ч. 1 ст. 33 Закона № 44-ФЗ",Подача заявок,"Реконструкция спального корпуса № 9 (Лит. Р) на территории СОК «Прометей», расположенного по адресу: Липецкая область, Грязинский муниципальный округ, Яманское лесничество, Ленинский лесхоз","ОБЛАСТНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА ЛИПЕЦКОЙ ОБЛАСТИ""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=683437,71784013.43,16,Республика Татарстан,2026-04-25T20:27:17.572034
0304200004326000012,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0304200004326000012,44-ФЗ,44-ФЗ                                    Электронный аукцион,Определение поставщика завершено,Поставка канцелярских товаров,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""РЕСПУБЛИКАНСКИЙ КЛИНИЧЕСКИЙ ЦЕНТР ПСИХИАТРИИ И НАРКОЛОГИИ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ КАБАРДИНО-БАЛКАРСКОЙ РЕСПУБЛИКИ",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=679658,100179.85,16,Республика Татарстан,2026-04-25T20:27:17.573575
0340100006226000006,https://zakupki.gov.ru/epz/order/notice/zk20/view/common-info.html?regNumber=0340100006226000006,44-ФЗ,44-ФЗ                                    Запрос котировок в электронной форме,Определение поставщика завершено,"Оказание услуг по комплексному техническому обслуживанию зданий, сооружений, помещений ВятГУ и прилегающих к ним территорий","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ВЯТСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=614162,1500000.0,16,Республика Татарстан,2026-04-25T20:27:17.574625
0304200004326000011,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0304200004326000011,44-ФЗ,44-ФЗ                                    Электронный аукцион,Определение поставщика завершено,"Поставка бумаги, ножниц, папок, ручек, клейких закладок, точилок, файлов-вкладышей, клея канцелярского, средств корректирующих канцелярских, клейкой ленты, лотков для бумаги","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""РЕСПУБЛИКАНСКИЙ КЛИНИЧЕСКИЙ ЦЕНТР ПСИХИАТРИИ И НАРКОЛОГИИ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ КАБАРДИНО-БАЛКАРСКОЙ РЕСПУБЛИКИ",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=679658,995842.4,16,Республика Татарстан,2026-04-25T20:27:17.575499
0862600024926000003,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0862600024926000003,44-ФЗ,44-ФЗ                                    Электронный аукцион,Подача заявок,Обучение населения вопросам пожарной безопасности через телевидение,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ГРАЖДАНСКОЙ ОБОРОНЫ И ЧРЕЗВЫЧАЙНЫХ СИТУАЦИЙ МУНИЦИПАЛЬНОГО ОКРУГА СУХОЙ ЛОГ""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=2532793,181000.0,16,Республика Татарстан,2026-04-25T20:27:17.576478
0839500000226000067,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0839500000226000067,44-ФЗ,44-ФЗ                                    Электронный аукцион,Подача заявок,"Поставка медицинских изделий (система рентгеновская диагностическая стационарная общего назначения, цифровая), ввод в эксплуатацию медицинских изделий, обучение правилам эксплуатации специалистов, эксплуатирующих медицинские изделия, и специалистов, осуществляющих техническое обслуживание медицинских изделий","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""АГЕНТСТВО ПО ЗАКУПКАМ В СФЕРЕ ЗДРАВООХРАНЕНИЯ""",https://zakupki.gov.ru/epz/organization/view/info.html?reestrNumber=2201363,1072013883.33,16,Республика Татарстан,2026-04-25T20:27:17.577328
